,,K-Means clustering,,,,,,,,,,,,,,,,,Finale cluster Result,
,,,,,,,,,,,,,,,,,,,,
,number,a,b,c,d,e,f,g,h,i,,,K1,K2,Cluster,,,,K1,K2
,1,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,,Single Lingkage Method,6.682230909,1.130562875,2,7.812793784,lowest,,2,1
,2,1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,,,13.10591152,17.72183713,1,30.82774864,higest,,8,3
,3,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,,,6.824631212,3.278837125,2,,,,16,4
,4,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,,,7.411294848,1.711857875,2,,,,23,5
,5,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,,,7.812966061,1.516967125,2,,,,24,6
,6,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,,,7.151764848,1.252327875,2,,,,29,7
,7,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,,,7.611499697,2.261952875,2,,,,31,9
,8,1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,,,14.25520879,15.03287788,1,,,,33,10
,9,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,,,7.501504848,1.570817875,2,,,,42,11
,10,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,,,7.24072,4.137047125,2,,,,43,12
,11,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,,,7.153736061,1.228427875,2,,,,45,13
,12,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,,,7.651059697,2.691512875,2,,,,49,14
,13,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,,,6.766552727,2.671732125,2,,,,50,15
,14,1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,,,7.699399697,1.738602875,2,,,,58,17
,15,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,,,7.019769697,3.497847875,2,,,,67,18
,16,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,,,4.862211212,5.581167125,1,,,,70,19
,17,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,,,6.629814545,1.941657875,2,,,,72,20
,18,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0,0,,,6.805731212,5.411312125,2,,,,79,21
,19,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,,,4.302441212,3.807647125,2,,,,85,22
,20,1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,,,7.140734848,1.210327125,2,,,,97,25
,21,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,,,6.402776061,1.397282125,2,,,,100,26
,22,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,,,7.191044848,1.627857875,2,,,,102,27
,23,1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,,,2.452505758,7.878852875,1,,,,104,28
,24,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,,,3.882599394,4.541362125,1,,,,115,30
,25,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,,,14.27959242,12.47739788,2,,,,116,32
,26,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,,,7.433436061,0.920627875,2,,,,120,34
,27,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,,,7.335196061,2.323637875,2,,,,122,35
,28,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,,,7.112040909,1.100747875,2,,,,127,36
,29,1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08,,,4.367790606,8.382682125,1,,,,134,37
,30,1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,,,7.74178,4.718107125,2,,,,136,38
,31,1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,,,4.736472727,8.791402125,1,,,,142,39
,32,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,,,8.472338182,3.116847125,2,,,,145,40
,33,1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0,,,4.891485758,8.670332875,1,,,,147,41
,34,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,,,6.752514848,0.933202875,2,,,,148,44
,35,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,,,8.305187879,4.613572875,2,,,,157,46
,36,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,,,7.631364848,1.700677875,2,,,,160,47
